Gene,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_log2FC,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_p-value,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_adj-p-value,Status,Normalized_Gene,HGNC_Synonyms,Patient_LFC_mean,Cohort_LFC_mean,Patient_LFC_Trend,Cohort_LFC_Trend,Trend_Consensus,DCS,CSC,CFC,keep,novel,JL_score,CGC,Gene_Score,Disorder_Score,Disorder_Type,PPI_Degree,PPI_Avg_Score,PPI_Score,Composite_Score,Tier,Non_CGC_Composite_Score,Non_CGC_Tier,Rank,Score,Confidence,Justification
HLA-DQA1,-2.53602,0.000866056,0.0664792,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,HLA-DQA1,CELIAC1;DQ-A1;DQA1;HLA-DQA;HLA-DQA1*;HLA-DQB1,-2.53602,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,1.38934231,17.7291,inferred,3.0,0.7013333333333334,2.104,0.025949282403333312,Tier 3,0.025949282403333312,Tier 3,1,81.0,High,"Disease specificity: High (90/100) — HLA-DQA1 is a well-established SLE risk allele and class II antigen-presentation gene (Gene_Score=1.3893, Disorder_Score=17.7291). Patient signal: Strong (80/100) with mean LFC = -2.53602 (adj_P_value = NA). Functional: Important component (70/100), PPI_Degree=3 consistent with antigen-presentation function. Clinical: Relevant to disease risk/biomarker (70/100). Evidence: Extensive (90/100)."
C4A,1.2132,0.0167032,0.259233,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,C4A,C4;C4A2;C4A3;C4A4;C4A6;C4AD;C4S;CO4;CPAMD2;RG,1.2132,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,23.541132,94.1231,direct,2.0,0.4945,0.989,0.02508858484996937,Tier 3,0.02508858484996937,Tier 3,2,78.0,High,"Disease: 90 (70-100) — strong disease specificity driven by Disorder_Score=94.1231 and Gene_Score=23.541. Patient Signal: 60 (50-69); Patient_LFC_mean=1.2132, adjusted P=NA. Functional: 80 (70-89) — important classical complement component with PPI_Degree=2.0. Clinical: 70 (70-89) — complement pathway is clinically relevant in SLE (biomarker/therapeutic investigations). Evidence: 90 (90-100) — extensive literature linking C4A copy-number/deficiency to SLE."
CTLA4,-1.66782,0.00241711,0.103437,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CTLA4,ALPS5;CD;CD152;CELIAC3;CTLA-4;GRD4;GSE;IDDM12,-1.66782,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,833.9035,1179.29224,direct,17.0,0.6054117647058823,10.292,0.3320359577947819,Tier 2,0.39844314935373826,Tier 2,3,76.0,High,"Disease specificity: High (70-100) — Gene_Score=833.9035, Disorder_Score=1179.29224 supporting an autoimmune relevance. Patient signal: Moderate (50-69) — Patient_LFC_mean = -1.66782 (adj_P_value = NA), |LFC|≥1 but p-value unavailable. Functional: High (90-100) — PPI_Degree = 17, consistent with a central immune-regulatory receptor. Clinical: Moderate/Clinical-trial bracket (70-89) — CTLA4 pathway therapeutics (e.g., abatacept) have been trialed in autoimmunity/SLE. Evidence: Extensive (90-100) — well-described role in tolerance and autoimmunity."
STAT2,-1.49609,0.000560184,0.0523873,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,STAT2,IMD44;ISGF-3;P113;PTORCH3;STAT113,-1.49609,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.772,1.544,0.014896325507633361,Tier 3,0.014896325507633361,Tier 3,4,75.0,Medium,"Disease specificity: 80 (70-100 category: core lupus/IFN pathway relevance). Patient signal: 70 (|LFC|=1.49609, patient_adj_P_value=NA). Functional: 75 (PPI_Degree=2; key transcriptional/effector component of type I IFN signaling). Clinical: 70 (relevant to IFN-targeted therapies such as IFNAR1 blockade like anifrolumab). Evidence: 80 (well-supported literature linking STAT2 to interferon-driven autoimmunity)."
CR2,-1.1031,0.0429093,0.390245,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CR2,C3DR;CD21;CR;CVID7;SLEB9,-1.1031,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,708.074036,708.0738,direct,13.0,0.663923076923077,8.631,0.23427257078698427,Tier 3,0.2811270849443811,Tier 2,5,73.0,High,Disease: High (70-100) — Disease specificity subscore 85 based on Gene_Score 708.074036 and Disorder_Score 708.0738 indicating relevance to B cell / complement programs. Patient Signal: Moderate (50-69) — subscore 60 with |LFC|=1.1031 (adj P-value=NA); Function: High (70-89) — subscore 80 with PPI_Degree=13 and role in B cell activation/immune complex handling; Clinical: Moderate (50-69) — subscore 60 (biologically plausible biomarker/therapeutic axis but not an approved SLE target); Evidence: Good (70) — subscore 70. Overall weighted composite = 73.
BCL2,-1.15629,0.00125462,0.0773808,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,BCL2,Bcl-2;PPP1R50,-1.15629,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,0.9641447,15.064,inferred,20.0,0.6712,13.424,0.2963353028909928,Tier 2,0.2963353028909928,Tier 2,6,72.0,Medium,"Disease specificity: 60 (40-69) — BCL2 is relevant to apoptosis and B cell survival pathways that intersect lupus biology (Gene_Score 0.964, Disorder_Score 15.064). Patient signal: 60 (|LFC|=1.156; adjusted p = NA) — modest up/down‑regulation meeting |LFC|≥1 but p‑value unavailable. Functional: 90 (PPI_Degree=20) — high PPI degree and central anti‑apoptotic regulator. Clinical: 90 — FDA‑targeted in other diseases (venetoclax), indicating tractability. Evidence: 90 — extensive literature linking BCL2 to immune cell survival."
MS4A1,-1.08269,0.0205472,0.284355,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MS4A1,B1;Bp35;CD20;CVID5;FMC7;LEU-16;S7,-1.08269,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,11.0,0.5924545454545455,6.517,0.05074422277326054,Tier 3,0.05074422277326054,Tier 3,7,71.0,Medium,"Disease Specificity: Moderate (65/100) — MS4A1 (CD20) is central to B cell biology and implicated in B cell–driven SLE programs. Patient Signal: Moderate (60/100) — Patient_LFC_mean = -1.08269, adjusted P = NA (strong |LFC|≥1 but p-value unavailable). Functional: High (80/100) — cell-surface B cell marker with PPI_Degree = 11 and direct role in B cell depletion strategies. Clinical: High (85/100) — established therapeutic target (CD20-targeting biologics used/investigated in SLE). Evidence: Extensive (90/100) — substantial literature linking CD20/B cell depletion to SLE biology and therapy."
CD79A,-1.48632,0.00245337,0.103437,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CD79A,IGA;IGAlpha;MB-1;MB1,-1.48632,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,2.00875831,20.7609,inferred,15.0,0.6948666666666666,10.423,0.27514342742221004,Tier 2,0.27514342742221004,Tier 2,8,70.0,Medium,"Disease Specificity: Moderate (68/100) — involvement in BCR signaling and non‑zero Gene_Score (2.0088) and Disorder_Score (20.7609) support relevance to lupus B cell programs. Patient Signal: Moderate (60/100) — |LFC|=1.486 (Patient_adj_P_value=NA) meeting the |LFC|≥1 threshold but lacking cohort p‑value. Functional: High (90/100) — PPI_Degree=15 and role as Igα (essential BCR signaling subunit). Clinical: Moderate (60/100) — BCR axis is therapeutically relevant (BTK, B cell depletion) though CD79A itself is not a current SLE drug target. Evidence: Good (75/100) — solid literature linking B cell receptor components to SLE pathogenesis."
CD22,-1.49013,0.00530464,0.15448,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CD22,SIGLEC-2;SIGLEC2,-1.49013,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,0.8939933,14.6736,inferred,16.0,0.732375,11.718,0.07780364254211825,Tier 3,0.07780364254211825,Tier 3,9,69.0,Medium,"Disease specificity: 60/100 (not a core HLA/IFN/complement lupus gene but directly implicated in B cell biology); Gene_Score=0.8939933, Disorder_Score=14.6736, CSC=0, DCS=-1. Patient signal: LFC = -1.49013, adj_P = NA (scored 60/100 because |LFC|≥1 but p-value unavailable). Functional: 85/100 (PPI_Degree=16, established inhibitory B‑cell receptor that regulates BCR signaling). Clinical: 80/100 (targeted in SLE clinical trials such as epratuzumab); Evidence: 80/100 (substantial literature in B cell biology and clinical investigation)."
TNF,-1.00102,0.0148556,0.246131,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,TNF,DIF;IMD127;TNF-alpha;TNFA;TNFSF2;TNLG1F,-1.00102,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,9.851808,51.0185,direct,22.0,0.6277272727272728,13.810000000000002,0.10848428298624581,Tier 3,0.10848428298624581,Tier 3,10,69.0,Medium,"Disease specificity 60/100 (bracket 40-69): moderate relevance to systemic autoimmunity with Disorder_Score=51.0185 and Gene_Score=9.8518. Patient signal 55/100 (50-69): |LFC|=1.001, adjusted p=NA. Functional 95/100 (90-100): high centrality (PPI_Degree=22) as a master proinflammatory cytokine. Clinical 70/100 (70-89): established FDA-target in other autoimmune diseases though not a proven SLE therapy. Evidence 90/100 (90-100): extensive literature linking TNF to inflammatory disease biology."
SOCS3,-2.4511,0.0345649,0.354277,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,SOCS3,ATOD4;CIS3;Cish3;SOCS-3;SSI-3;SSI3,-2.4511,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,0.7771203,13.91,inferred,5.0,0.6609999999999999,3.3049999999999997,0.027294894744727058,Tier 3,0.027294894744727058,Tier 3,11,67.0,Medium,"Disease: 60 (40-69) — Gene_Score 0.7771203, Disorder_Score 13.91 (moderate disease linkage). Patient Signal: 75 (70-89) — |LFC|=2.4511, adj_p=NA (strong downregulation in cohort but p-value not reported). Functional: 80 (70-89) — PPI_Degree=5.0, known negative regulator of JAK/STAT and interferon signaling. Clinical: 50 (50-69) — no direct approved SOCS3‑targeted therapies but relevance to cytokine signaling and JAK inhibitor biology. Evidence: 80 (70-89) — substantial literature linking SOCS3 to cytokine/IFN pathways in autoimmunity."
FCRL3,-1.19654,0.00941489,0.201479,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,FCRL3,CD307c;FCRH3;IFGP3;IRTA3;MAIA;SPAP2,-1.19654,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,4.389734,31.9362,inferred,3.0,0.5913333333333334,1.774,0.019890614041607732,Tier 3,0.019890614041607732,Tier 3,12,66.0,Medium,"Disease Specificity: 75 (reflects known autoimmune/SLE associations and Disorder_Score=31.9362). Patient Signal: 60 (|LFC|=1.19654, adj_p=NA; CSC=0, DCS=-1). Functional: 75 (PPI_Degree=3; B‑cell regulatory FcR‑like receptor). Clinical: 40 (no approved SLE drugs directly targeting FCRL3; potential biomarker/target under investigation). Evidence: 80 (good literature linking FCRL3 to autoimmunity)."
MALT1,-1.0778,0.00519357,0.15346,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MALT1,IMD12;MLT;MLT1;PCASP1,-1.0778,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,,,,2.0,0.6605000000000001,1.3210000000000002,0.2109278400364804,Tier 3,0.2109278400364804,Tier 3,13,65.0,Medium,"Disease: Moderate (40-69) — MALT1 is a paracaspase in the CBM complex that promotes NF-κB and B cell activation relevant to lupus B cell/BAFF programs (assigned disease specificity 60). Signal: Moderate (50-69) — Patient_LFC_mean = -1.0778, adj_P_value = NA (|LFC|≈1 → bracket 50-69), CSC=0, DCS=-1. Functional: Important regulator (70-89) — PPI_Degree=2 and central to antigen receptor→NF-κB signaling; Clinical: Early-phase (50-69) — MALT1 inhibitors are under investigation for immune diseases; Evidence: Good support (70-89)."
CD79B,-1.05609,0.0169864,0.260778,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CD79B,AGM6;B29;IGB;Igbeta,-1.05609,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,,,,13.0,0.676076923076923,8.789,0.25993129001590487,Tier 2,0.25993129001590487,Tier 2,14,65.0,Medium,Disease Specificity: Moderate (60/100) — BCR component with biological relevance to B cell activation but no direct Disease_Score reported (NA). Patient Signal: Moderate (60/100) — |LFC|=1.056 (Patient_adj_P_value=NA) meeting the |LFC|≥1 threshold. Functional: High (85/100) — PPI_Degree=13 and role as Igβ supporting antigen receptor signaling. Clinical: Early‑moderate (55/100) — BCR targeting is clinically important though CD79B is not a primary SLE drug target (some oncology drugs target CD79B). Evidence: Good (75/100) — multiple studies implicate BCR signaling in SLE.
TIGIT,-1.35277,0.00817984,0.188781,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,TIGIT,VSIG9;VSTM3;WUCAM,-1.35277,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,8.0,0.585125,4.681,0.038590713933734366,Tier 3,0.038590713933734366,Tier 3,15,65.0,Medium,"Disease specificity: 60/100 (moderate — immune‑regulatory checkpoint relevant to autoimmunity). Patient signal: 60/100 based on Patient_LFC_mean = -1.35277 (adj P_value = NA, qualifies for |LFC|≥1 bracket). Functional: 80/100 (PPI_Degree = 8, important immune regulator). Clinical: 60/100 (early‑phase interest as immunomodulatory target). Evidence: 70/100 (moderate literature linking TIGIT to immune tolerance and autoimmunity)."
EBF1,-1.82499,0.00228828,0.100061,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,EBF1,COE1;EBF;O/E-1;OLF1,-1.82499,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,,,,6.0,0.616,3.6959999999999997,0.2327280366948715,Tier 3,0.2327280366948715,Tier 3,16,65.0,Medium,"Disease specificity: Moderate (60/100) — not listed in the provided lupus core gene list but is a B‑cell lineage transcription factor relevant to B cell activation; Gene_Score/Disorder_Score = NA, CGC=1. Patient signal: Moderate (65/100) — Patient_LFC_mean = -1.82499 (|LFC|≥1.5) but adj_P_value = NA so p‑support is missing. Functional: Important component (75/100) — PPI_Degree = 6 indicating moderate network connectivity and key transcriptional regulator of B cell differentiation. Clinical: Early/biomarker potential (60/100) — biologically plausible for B‑cell targeted strategies but not an established clinical target in SLE. Evidence: Good (70/100) — supported by literature in B cell biology/autoimmunity though not a core SLE drug target."
SLAMF1,-1.29482,0.0132451,0.236803,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,SLAMF1,CD150;CDw150;IPO3;SLAM,-1.29482,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,0.939799249,14.9877,inferred,7.0,0.5802857142857143,4.062,0.035417154743217646,Tier 3,0.035417154743217646,Tier 3,17,64.0,Medium,"Disease: Moderate (60) — Gene_Score=0.9398, Disorder_Score=14.9877 support some lupus relevance. Patient signal: Moderate (60) — |LFC|=1.295, adj_p=NA. Functional: Important component (75) — PPI_Degree=7 and SLAM family roles in immune cell interactions. Clinical: Moderate (60) — not an FDA target but biologically plausible for immune-modulatory strategies. Evidence: Good (75) — several studies implicate SLAM receptors in autoimmunity."
CD72,-1.20685,0.0430849,0.391086,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CD72,CD72b;LYB2,-1.20685,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,1.77242243,19.7094,inferred,7.0,0.7014285714285714,4.91,0.03490279613614669,Tier 3,0.03490279613614669,Tier 3,18,64.0,Medium,Disease Specificity: Moderate (65/100) — some Gene_Score (1.7724) and Disorder_Score (19.7094) and known negative regulatory role in B cells relevant to autoimmunity. Patient Signal: Moderate (60/100) — |LFC|=1.20685 (Patient_adj_P_value=NA) meeting the |LFC|≥1 threshold. Functional: Important (75/100) — PPI_Degree=7 consistent with a regulatory B cell surface receptor modulating BCR signaling. Clinical: Early (50/100) — not a current SLE therapeutic target but functionally tied to B cell modulation. Evidence: Good (70/100) — targeted and mechanistic studies support a role in B cell tolerance and autoimmunity.
