pathway,main_class,sub_class,source,confidence,created_at
Toxoplasmosis,Human Diseases,Infectious disease: parasitic,KEGG,1.0,2026-01-27T17:40:42.175485
Olfactory transduction,Organismal Systems,Sensory system,KEGG,1.0,2026-01-27T17:40:46.591702
Arginine biosynthesis,Metabolism,Amino acid metabolism,KEGG,1.0,2026-01-27T17:40:50.343063
Complement and coagulation cascades,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:40:54.180223
mRNA surveillance pathway,Genetic Information Processing,Translation,KEGG,1.0,2026-01-27T17:40:58.305199
RNA polymerase,Genetic Information Processing,Transcription,KEGG,1.0,2026-01-27T17:41:02.139258
Hepatitis B,Human Diseases,Infectious disease: viral,KEGG,1.0,2026-01-27T17:41:05.989777
NOD-like receptor signaling pathway,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:41:09.471317
Pancreatic cancer,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:41:12.677568
Cocaine addiction,Human Diseases,Substance dependence,KEGG,1.0,2026-01-27T17:41:15.970413
Rheumatoid arthritis,Human Diseases,Immune disease,KEGG,1.0,2026-01-27T17:41:22.024937
Calcium signaling pathway,Environmental Information Processing,Signal transduction,KEGG,1.0,2026-01-27T17:41:25.481296
Glycosaminoglycan degradation,Metabolism,Glycan biosynthesis and metabolism,KEGG,1.0,2026-01-27T17:41:29.027263
Progesterone-mediated oocyte maturation,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:41:32.338240
GABAergic synapse,Organismal Systems,Nervous system,KEGG,1.0,2026-01-27T17:41:35.545524
Amyotrophic lateral sclerosis,Human Diseases,Neurodegenerative disease,KEGG,1.0,2026-01-27T17:41:38.964887
Mineral absorption,Organismal Systems,Digestive system,KEGG,1.0,2026-01-27T17:41:42.234169
Galactose metabolism,Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:41:45.484307
Measles,Human Diseases,Infectious disease: viral,KEGG,1.0,2026-01-27T17:41:48.915950
Retrograde endocannabinoid signaling,Organismal Systems,Nervous system,KEGG,1.0,2026-01-27T17:41:52.192163
Cholinergic synapse,Organismal Systems,Nervous system,KEGG,1.0,2026-01-27T17:41:55.490683
cGMP-PKG signaling pathway,Environmental Information Processing,Signal transduction,KEGG,1.0,2026-01-27T17:41:58.749465
Prion disease,Human Diseases,Neurodegenerative disease,KEGG,1.0,2026-01-27T17:42:02.229859
Bacterial invasion of epithelial cells,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:42:05.615657
Vascular smooth muscle contraction,Organismal Systems,Circulatory system,KEGG,1.0,2026-01-27T17:42:11.484278
Ovarian steroidogenesis,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:42:14.779501
Long-term depression,Organismal Systems,Nervous system,KEGG,1.0,2026-01-27T17:42:18.035136
Butanoate metabolism,Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:42:21.356721
Breast cancer,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:42:24.875708
Thiamine metabolism,Metabolism,Metabolism of cofactors and vitamins,KEGG,1.0,2026-01-27T17:42:28.118485
Rap1 signaling pathway,Environmental Information Processing,Signal transduction,KEGG,1.0,2026-01-27T17:42:31.359553
Selenocompound metabolism,Metabolism,Metabolism of other amino acids,KEGG,1.0,2026-01-27T17:42:34.644877
Viral myocarditis,Human Diseases,Cardiovascular disease,KEGG,1.0,2026-01-27T17:42:37.953926
Graft-versus-host disease,Human Diseases,Immune disease,KEGG,1.0,2026-01-27T17:42:41.264918
Human cytomegalovirus infection,Human Diseases,Infectious disease: viral,KEGG,1.0,2026-01-27T17:42:44.699456
Oocyte meiosis,Cellular Processes,Cell growth and death,KEGG,1.0,2026-01-27T17:42:48.005081
Choline metabolism in cancer,Human Diseases,Cancer: overview,KEGG,1.0,2026-01-27T17:42:51.243209
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Metabolism,Glycan biosynthesis and metabolism,KEGG,1.0,2026-01-27T17:42:54.520318
beta-Alanine metabolism,Metabolism,Metabolism of other amino acids,KEGG,1.0,2026-01-27T17:42:57.791487
Glutamatergic synapse,Organismal Systems,Nervous system,KEGG,1.0,2026-01-27T17:43:01.039746
Long-term potentiation,Organismal Systems,Nervous system,KEGG,1.0,2026-01-27T17:43:06.912009
Aldosterone synthesis and secretion,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:43:10.227016
Citrate cycle (TCA cycle),Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:43:13.556227
Proximal tubule bicarbonate reclamation,Organismal Systems,Excretory system,KEGG,1.0,2026-01-27T17:43:16.791815
Dopaminergic synapse,Organismal Systems,Nervous system,KEGG,1.0,2026-01-27T17:43:20.065815
Neurotrophin signaling pathway,Organismal Systems,Nervous system,KEGG,1.0,2026-01-27T17:43:25.987890
Mannose type O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,KEGG,1.0,2026-01-27T17:43:29.326535
Antifolate resistance,Human Diseases,Drug resistance: antineoplastic,KEGG,1.0,2026-01-27T17:43:32.569140
Hematopoietic cell lineage,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:43:35.835222
Amoebiasis,Human Diseases,Infectious disease: parasitic,KEGG,1.0,2026-01-27T17:43:39.063556
Spliceosome,Genetic Information Processing,Transcription,KEGG,1.0,2026-01-27T17:43:42.336836
Chemical carcinogenesis,Human Diseases,Cancer: overview,KEGG,1.0,2026-01-27T17:43:45.801429
Homologous recombination,Genetic Information Processing,Replication and repair,KEGG,1.0,2026-01-27T17:43:49.036960
Apelin signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.8695652173913043,2026-01-27T17:43:49.570946
Ether lipid metabolism,Metabolism,Lipid metabolism,KEGG,1.0,2026-01-27T17:43:52.334026
Human immunodeficiency virus 1 infection,Human Diseases,Infectious disease: viral,KEGG,1.0,2026-01-27T17:43:55.828761
Cytosolic DNA-sensing pathway,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:43:59.163330
Dilated cardiomyopathy,Human Diseases,Cardiovascular disease,KEGG,1.0,2026-01-27T17:44:02.420373
Nicotine addiction,Human Diseases,Substance dependence,KEGG,0.8571428571428571,2026-01-27T17:44:05.544079
Adrenergic signaling in cardiomyocytes,Organismal Systems,Circulatory system,KEGG,1.0,2026-01-27T17:44:08.300966
Protein processing in endoplasmic reticulum,Genetic Information Processing,"Folding, sorting and degradation",KEGG,1.0,2026-01-27T17:44:11.652649
Longevity regulating pathway,Organismal Systems,Aging,KEGG,1.0,2026-01-27T17:44:15.155243
Oxytocin signaling pathway,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:44:18.397519
Cysteine and methionine metabolism,Metabolism,Amino acid metabolism,KEGG,1.0,2026-01-27T17:44:21.783110
Salivary secretion,Organismal Systems,Digestive system,KEGG,1.0,2026-01-27T17:44:25.024954
Amphetamine addiction,Human Diseases,Substance dependence,KEGG,1.0,2026-01-27T17:44:28.267638
Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism,Metabolism of cofactors and vitamins,KEGG,1.0,2026-01-27T17:44:31.735217
Ras signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.9302325581395348,2026-01-27T17:44:32.280564
Systemic lupus erythematosus,Human Diseases,Immune disease,KEGG,1.0,2026-01-27T17:44:35.082266
Th1 and Th2 cell differentiation,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:44:38.351856
Pantothenate and CoA biosynthesis,Metabolism,Metabolism of cofactors and vitamins,KEGG,1.0,2026-01-27T17:44:41.626481
Nicotinate and nicotinamide metabolism,Metabolism,Metabolism of cofactors and vitamins,KEGG,1.0,2026-01-27T17:44:50.307350
Caffeine metabolism,Metabolism,Biosynthesis of other secondary metabolites,KEGG,1.0,2026-01-27T17:44:53.660090
Fat digestion and absorption,Organismal Systems,Digestive system,KEGG,1.0,2026-01-27T17:44:57.003721
Histidine metabolism,Metabolism,Amino acid metabolism,KEGG,1.0,2026-01-27T17:45:00.263072
Protein digestion and absorption,Organismal Systems,Digestive system,KEGG,0.8666666666666667,2026-01-27T17:45:00.803094
Bile secretion,Organismal Systems,Digestive system,KEGG,1.0,2026-01-27T17:45:03.559766
Acute myeloid leukemia,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:45:06.973037
Endocrine resistance,Human Diseases,Drug resistance: antineoplastic,KEGG,1.0,2026-01-27T17:45:10.208513
Propanoate metabolism,Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:45:16.063052
Ubiquitin mediated proteolysis,Genetic Information Processing,"Folding, sorting and degradation",KEGG,1.0,2026-01-27T17:45:21.883657
Fc gamma R-mediated phagocytosis,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:45:25.121725
Epithelial cell signaling in Helicobacter pylori infection,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:45:28.383853
Vibrio cholerae infection,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:45:31.690064
Adipocytokine signaling pathway,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:45:35.009532
Kaposi sarcoma-associated herpesvirus infection,Human Diseases,Infectious disease: viral,KEGG,1.0,2026-01-27T17:45:38.464578
Phagosome,Cellular Processes,Transport and catabolism,KEGG,1.0,2026-01-27T17:45:41.711417
AMPK signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.9090909090909092,2026-01-27T17:45:42.256017
Intestinal immune network for IgA production,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:45:44.968891
Cholesterol metabolism,Organismal Systems,Digestive system,KEGG,1.0,2026-01-27T17:45:48.437526
Arginine and proline metabolism,Metabolism,Amino acid metabolism,KEGG,1.0,2026-01-27T17:45:51.683764
Thyroid hormone signaling pathway,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:45:54.938112
Tuberculosis,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:46:00.790287
Thermogenesis,Organismal Systems,Environmental adaptation,KEGG,1.0,2026-01-27T17:46:04.209817
Legionellosis,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:46:07.466927
Phospholipase D signaling pathway,Environmental Information Processing,Signal transduction,KEGG,1.0,2026-01-27T17:46:13.532174
Huntington disease,Human Diseases,Neurodegenerative disease,KEGG,1.0,2026-01-27T17:46:16.958077
HIF-1 signaling pathway,Environmental Information Processing,Signal transduction,KEGG,1.0,2026-01-27T17:46:20.219098
Starch and sucrose metabolism,Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:46:23.446904
Hypertrophic cardiomyopathy,Human Diseases,Cardiovascular disease,KEGG,1.0,2026-01-27T17:46:26.730150
Amino sugar and nucleotide sugar metabolism,Metabolism,Glycan biosynthesis and metabolism,KEGG,1.0,2026-01-27T17:46:30.138110
Fc epsilon RI signaling pathway,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:46:33.378700
Primary bile acid biosynthesis,Metabolism,Lipid metabolism,KEGG,1.0,2026-01-27T17:46:36.642214
Glyoxylate and dicarboxylate metabolism,Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:46:42.482375
ABC transporters,Environmental Information Processing,Membrane transport,KEGG,1.0,2026-01-27T17:46:45.693551
Prostate cancer,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:46:48.929319
Chronic myeloid leukemia,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:46:52.133487
Tyrosine metabolism,Metabolism,Amino acid metabolism,KEGG,1.0,2026-01-27T17:46:55.445011
EGFR tyrosine kinase inhibitor resistance,Human Diseases,Drug resistance: antineoplastic,KEGG,1.0,2026-01-27T17:46:58.725814
Neuroactive ligand-receptor interaction,Environmental Information Processing,Signaling molecules and interaction,KEGG,1.0,2026-01-27T17:47:01.961764
Lysine degradation,Metabolism,Amino acid metabolism,KEGG,1.0,2026-01-27T17:47:05.296683
TNF signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.8636363636363636,2026-01-27T17:47:05.855583
ErbB signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.8837209302325582,2026-01-27T17:47:05.906928
Type II diabetes mellitus,Human Diseases,Endocrine and metabolic disease,KEGG,1.0,2026-01-27T17:47:08.722025
Phenylalanine metabolism,Metabolism,Amino acid metabolism,KEGG,1.0,2026-01-27T17:47:11.973023
Lipoic acid metabolism,Metabolism,Metabolism of cofactors and vitamins,KEGG,1.0,2026-01-27T17:47:15.439904
Natural killer cell mediated cytotoxicity,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:47:18.792204
Bladder cancer,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:47:22.376301
Prolactin signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.8627450980392157,2026-01-27T17:47:28.854122
Toll-like receptor signaling pathway,Organismal Systems,Immune system,KEGG,0.9295774647887324,2026-01-27T17:47:28.901225
C-type lectin receptor signaling pathway,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:47:31.859447
Chagas disease,Human Diseases,Infectious disease: parasitic,KEGG,1.0,2026-01-27T17:47:35.526157
T cell receptor signaling pathway,Organismal Systems,Immune system,KEGG,0.8695652173913043,2026-01-27T17:47:36.070504
PD-L1 expression and PD-1 checkpoint pathway in cancer,Human Diseases,Cancer: overview,KEGG,1.0,2026-01-27T17:47:38.959641
Pathogenic Escherichia coli infection,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:47:42.337028
Platinum drug resistance,Human Diseases,Drug resistance: antineoplastic,KEGG,1.0,2026-01-27T17:47:45.803498
ECM-receptor interaction,Environmental Information Processing,Signaling molecules and interaction,KEGG,1.0,2026-01-27T17:47:49.236631
Hepatitis C,Human Diseases,Infectious disease: viral,KEGG,0.9090909090909092,2026-01-27T17:47:49.785079
Aldosterone-regulated sodium reabsorption,Organismal Systems,Excretory system,KEGG,1.0,2026-01-27T17:47:52.791821
Insulin resistance,Human Diseases,Endocrine and metabolic disease,KEGG,1.0,2026-01-27T17:47:56.087926
Herpes simplex virus 1 infection,Human Diseases,Infectious disease: viral,KEGG,1.0,2026-01-27T17:48:02.301032
Renal cell carcinoma,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:48:05.710519
Autoimmune thyroid disease,Human Diseases,Immune disease,KEGG,1.0,2026-01-27T17:48:11.653785
